npi,taxonomy_col,taxonomy_code,switch_col,taxonomy_switch
1245217975,HEALTHCARE_PROVIDER_TAXONOMY_CODE_2,207Q00000X,HEALTHCARE_PROVIDER_PRIMARY_TAXONOMY_SWITCH_2,N
1538146907,HEALTHCARE_PROVIDER_TAXONOMY_CODE_1,2084N0400X,HEALTHCARE_PROVIDER_PRIMARY_TAXONOMY_SWITCH_1,Y
1467439745,HEALTHCARE_PROVIDER_TAXONOMY_CODE_1,2085R0202X,HEALTHCARE_PROVIDER_PRIMARY_TAXONOMY_SWITCH_1,N
1467439745,HEALTHCARE_PROVIDER_TAXONOMY_CODE_2,2085R0202X,HEALTHCARE_PROVIDER_PRIMARY_TAXONOMY_SWITCH_2,N
1467439745,HEALTHCARE_PROVIDER_TAXONOMY_CODE_3,2085R0202X,HEALTHCARE_PROVIDER_PRIMARY_TAXONOMY_SWITCH_3,N
1467439745,HEALTHCARE_PROVIDER_TAXONOMY_CODE_4,2085R0202X,HEALTHCARE_PROVIDER_PRIMARY_TAXONOMY_SWITCH_4,Y
1407833577,HEALTHCARE_PROVIDER_TAXONOMY_CODE_1,207R00000X,HEALTHCARE_PROVIDER_PRIMARY_TAXONOMY_SWITCH_1,N
1407833577,HEALTHCARE_PROVIDER_TAXONOMY_CODE_2,207RE0101X,HEALTHCARE_PROVIDER_PRIMARY_TAXONOMY_SWITCH_2,Y
1083692115,HEALTHCARE_PROVIDER_TAXONOMY_CODE_1,207Q00000X,HEALTHCARE_PROVIDER_PRIMARY_TAXONOMY_SWITCH_1,Y
1144209586,HEALTHCARE_PROVIDER_TAXONOMY_CODE_1,207RC0001X,HEALTHCARE_PROVIDER_PRIMARY_TAXONOMY_SWITCH_1,N
1144209586,HEALTHCARE_PROVIDER_TAXONOMY_CODE_2,207RC0000X,HEALTHCARE_PROVIDER_PRIMARY_TAXONOMY_SWITCH_2,Y
